Reviews,Ratings,Food,Service,Ambience,Dates
This place totally lived up to all of all of our expectations and look forward to coming back.,5,5,5,5,4 days ago
Golden Steer is one of very few establishments that lives up to its hype.  Thank you to David. Bruce . Jesus. bartender Christopher. and others whose names I did not gather.  Truly. the most attentive. appropriate. efficient. professional and customer-centric staff we have ever experienced at any restaurant anywhere.  Seriously.  As importantly. the food is superb. and the ambience is perfect.  Our first time dining at Golden Steer. and most certainly not our last.  Thanks again to all for a marvelous birthday meal.  We shall return soon.,5,5,5,5,4 days ago
Golden steer has Excellent food and wonderful service,5,5,5,5,4 days ago
We had an amazing experience at Golden Steer.  We have a daughter that has celiac and must eat gluten free.  Chris. our server. was very knowledgeable and checked with the chef to check and make sure she would have a safe dining experience.  We appreciated it so much and we all had a great dining experience!  We will be back!,5,5,5,5,5 days ago
Excellent and exceptional dinner! Overall experience is top notch in all areas. Professional staff. and the food was amazing. Food cooked to perfection! Definitely a must for an amazing dining experience when in Las Vegas! We will DEFINITELY be back!,5,5,5,4,5 days ago
Every time we have been to the Golden Steer it has been terrific. The staff are so attentive and the experience is true Las Vegas.  Cannot wait to return.,5,5,5,5,5 days ago
It was a great experience one that I would like to repeat again.,5,4,5,5,6 days ago
Everything from the table side Caesar’s salads to the table side Cherry jubilee was AMAZING. Don’t get me started on the tomahawk and the cream corn with cinnamon and the with love drink from the bar…. 10/10. Can’t wait to go back again.,5,5,5,5,6 days ago
Great experience and food. Wife and I shared the porterhouse. salad. Mac and cheese. broccoli and couple of drinks and it was about 100.00 a person. Sides are shareable. They were great in cutting the steak in the back. We had the Sammy Davis booth.,5,5,5,5,6 days ago
Amazing experience…. Food was delish!!! Would def be back…,5,5,5,5,6 days ago
Review for Golden Steer Steakhouse. Las Vegas  If you're considering a dining experience that combines exceptional food. top-notch service. and an inviting atmosphere. look no further than Golden Steer Steakhouse in Las Vegas. My visit was nothing short of extraordinary.  From the moment we arrived. the staff welcomed us with warmth and professionalism. setting the tone for a memorable evening. The service was impeccable; the team was attentive without being intrusive. ensuring that all our needs were met.  The highlight of our meal was undoubtedly the steaks. which were cooked to absolute perfection—tender. juicy. and bursting with flavor. The lobster was equally impressive. expertly prepared and a true delight. One of the standout moments was the tableside Caesar salad—prepared fresh right in front of us. it was both entertaining and delicious.  Every side dish we ordered complemented our meal beautifully. adding to the overall fantastic dining experience. Each bite was a testament to the culinary expertise at Golden Steer.  If you're on the fence about dining here. I wholeheartedly encourage you to go. Whether it’s for a special occasion or just a night out. Golden Steer Steakhouse delivers an unforgettable experience that combines delicious food. exceptional service. and a warm atmosphere. You won't regret it!,5,5,5,5,6 days ago
Waited 3 months to get in and it did not disappoint. The service was amazing. I am so happy this restaurant lived up to the hype. We ordered the dinner for two long horn and lobster. The lobster was massive and the steak was perfect. I was purely more impressed of how attentive and on it the staff were. The best service I have had in a long time!,5,5,5,5,6 days ago
Old school steakhouse charm. Like traveling back in time.  Lobster tail is the biggest you'll find anywhere. Steaks are prime aged. Service is impeccable. staff very attentive. to the point that even wait staff not assigned as your server will check in you if they see you finished a drink. Caesar salad (fantastic) is prepared fresh (at your table if you order 2 or more) as are the bananas foster.,5,5,5,5,6 days ago
Steaks were amazing! The staff was exceptional and provided a great experience.,5,5,5,4,6 days ago
Awesome as always. great food and ambiance!!!! I would definitely recommend to others.,5,5,5,5,7 days ago
My wife and I came for our anniversary and they treated us very well. The history in the place is amazing too! Food is great!,5,5,5,5,December 4 2024
A great experience and service top 3 in Las vegas.,5,5,5,5,December 4 2024
I love golden steer! I love the history it has! You have to go here at least once if you’re visiting or you live here and you want to try it.. do it! This place is awesome! just for the history it’s  worth it!,5,4,5,5,December 4 2024
Great meal. My husband's prime rib was perfect. I ordered a steak and lobster. and the server didn't like the way the lobster looked or felt. so he brought me another one almost right away.,5,5,5,5,December 4 2024
The entire experience was incredible.  Food was amazing.  It wasn’t tell we were leaving when we asked the Door Man how do we get a taxi!  He acted like we had a nerve to even ask!  He asked why would we ask him?  So started to walk down the street to find a taxi and luckily a taxi pulled up to us.  I had a 20 to tip the doorman but gave it to the taxi driver instead.  Taxi driver was happy when I gave him 40 for a 12 dollar taxi!,5,5,4,5,December 4 2024
I love the Golden Steer Steakhouse. The food is delicious and the service impeccable.,5,5,5,5,December 4 2024
Our filets were grainy. crab legs tasted like they had gone bad and had a fishy smell and taste to them. For what they charge. it is not worth it. in my opinion.,2,1,4,5,December 4 2024
This restaurant is absolutely everything it is hyped up to be. Be prepared to be treated like Las Vegas royalty from the moment you step through the doors. The decor is total old school Las Vegas. totally like stepping back in time. The waitstaff is incredible and extremely knowledgeable.  Get the Tableside Caesar Salad for a unique and delicious experience. The steaks and lobster tails can't be beat. It's not cheap. that's for sure. but this is a great place for a special night out. The price is well worth the food. atmosphere. and whole experience. You won't be disappointed!,5,5,5,5,December 4 2024
Definitely lived up to the hype. Everything was spectacular. from the moment we walked inside the restaurant.  Our servers were so attentive. we never wanted for anything.  Highly recommend the shrimp cocktail. First off. these are the largest rough I’ve ever seen. Secondly. the spicy cocktail sauce is amazing!  We decided to do the tomahawk dinner for two. which came with two salads and two sides. We were happy to learn the tableside Caesar salad was an option. And everything was delicious and we particularly liked that. They timed everything perfectly so as we finished and they cleared things off it was time for our next course.  Definitely worth every penny. and we’re already trying to figure out when we’re going to come back. ￼,5,5,5,5,December 4 2024
Great Experience!  Food was Amazing. Service was Top Notch. Would highly recommend.,5,5,5,5,December 4 2024
Everything it we hoped it would be. Incredible service from the time we entered till we left. Food was amazing and just a very pleasant and memorable dining experience. Highly recommended.,5,5,5,5,December 3 2024
This is the best steak we have ever had! We will be back every year!,5,5,5,5,December 3 2024
Such a great experience we had for dinner. Everything came out amazing. We got the dinner for two steak & lobster. Two sides we chose were the prime Mac and cheese with twice baked potato. The table side Cesar salad was presented with such class. All the waiters checking in was what we noticed the most. The attention to refilling drinks and taking plates away. The only downfall was that the heat was turned up a little to high they did have the air come on but wasn’t too much help. Other than that it was great!,5,5,5,5,December 3 2024
Everything was great! Best steak I’ve probably ever had! Creamed spinach is to die for! Great waiters! Had a 7 year old and 11 month old and they were very accommodating and welcoming. 10/10 recommend you put coming here on your Vegas to do list!,5,5,5,5,December 3 2024
Fine dining in the spirit of the 60s. Service was impeccable. food was magnificent. If you want to be spoiled. this is it!,5,5,5,5,December 3 2024
Everything was what we expected great experience great food,5,5,5,5,December 3 2024
Literally the best Caesar salad over ever had. Great service and cool old school ambiance.,5,5,5,4,December 3 2024
This did not disappoint amazing food amazing service staff and we’re coming back in February and I can’t wait,5,5,5,5,December 2 2024
Best  Jumbo lobster tail I have ever had flew in from Denver took 8 months to get reservations but worth the wait!,5,5,5,5,December 1 2024
Amazing place! It’s definitely my new favorite spot. very cool and lots of history.,5,5,5,5,December 1 2024
Such a great visit. I made notes on my reservations that it was my husband’s birthday. They went out of their way to help us celebrate him. All of the staff were amazing and so personable. making sure we were taken care of. The food was good but the experience was even more valuable.,5,5,5,5,December 1 2024
Great steak house. Great service. Stop by if you can.,5,5,5,5,December 1 2024
Outstanding dining experience. Superb at every level. Golden Steer is worth working hard to get a reservation. Our monitoring of the wait list finally paid off. One of the best experiences ever. Great steak. Great Lobster. First ever escargot. thank you for treating us like valued customers!,5,5,5,5,November 30 2024
Great experience delicious food. friendly. and very attentive service ￼,5,5,5,5,November 30 2024
Fantastic food. service and experience! Wil definitely recommend!,5,5,5,5,November 30 2024
What a fantastic first experience I was able to share with my wife! It was the best steak and best service I have ever experienced. A huge thank you to Dave! Thank you!,5,5,5,5,November 30 2024
Food was great! Service was excellent. Gave me that old Vegas vibe I was looking for,5,5,5,5,November 29 2024
Foods was fabulous. Service wasn't great initially but without us saying a word the manager fixed the situation.  We had a large party of 9 and the second server was great. He was social and pleasant to interact with. He definitely helped turn our evening  around.,5,5,4,5,November 29 2024
Great experience arrived early and was told they were running behind but got seated right at our reservation time. Ordered drinks witch were strong .  Salad came out within 3 minutes of ordering and  food came out soon after salad was finished.  Food has fantastic steak was great and lobster was best I've ever had. Got a booth that was great.  Would highly recommend,5,5,5,5,November 29 2024
Start to finish one of the best dining experiences I have ever had. Food was like no other. the service is above and beyond.,5,5,5,5,November 29 2024
Our dinner was amazing. From the cocktails to our steaks and side dishes. We can’t wait to go back. Service was great and the staff was very attentive. This is a must stop when in Vegas and when you can get a reservation. 💜,5,5,5,5,November 28 2024
The part that intrigued me most about this location was the fact that you needed to make a reservation months in advance - that’s how I knew it had to be good. And it was more than just good. it was a perfect meal. Food was incredible. the location is gorgeous. it was so worth the wait. I can’t wait to come back!,5,5,5,5,November 28 2024
Had the prime rib and lobster along with a bunch of apps. Loved the old school feeling and the 2 person booth we were in. Sat in John Wayne’s booth :) Great night. Great service. great food. definitely go back again and would recommend to everyone.,5,5,5,5,November 28 2024
So delicious!  The table side Caesar salad was so good and the bananas foster was yummy.  Highly recommend the golden steer. thank you!,5,5,5,5,November 28 2024
What wonderful experience. We have tried for years to get a reso here. it’s almost impossible!  So gladly we finally got one. This is an old time classic steak house. Food was amazing. The table side ceaser salad was to die for. So much fun. Highly recommend!,5,5,5,5,November 28 2024
An amazing night. Only took 2 years to finally get a reservation. but worth the wait. The Jumbo Western Australian Lobster Tail---- there are no words but OMG! I swear I was purring like a kitten. Cherries Jubilee was a joy from the gentleman creating it to the last drop. The 24oz Rib Eye Steak w/Bone-in was equally as amazing followed by Bananas Foster. On our  way out we made reservations for another great experience. Special call out to the door-man! He helped us park. I have a mobility scooter & lift on the back of my car making it long. With limited parking. drivers were going the wrong way and not watching out for others. The door-man stopped traffic for us and even put a cone behind our car once we were parked. THANK YOU!,5,5,5,5,November 28 2024
Been wanting to come here for a couple of years. Was well worthy of the hype. Food and ambiance is top notch and looking forward to coming back very soon!,5,5,5,5,November 28 2024
Golden Steer was an absolute highlight. My mom & I got the longhorn & lobster for 2 combo. which is the absolute best way to go IMO. We chose the table side Caesar salads. Neither my mom nor I are love Caesar salads typically. but this one blew us away. It’s the best we ever had. The steak was perfectly seasoned & the lobster tail was the most decadent amazing lobster I’ve ever had. We got the whipped potatoes & the mushrooms as our sides. The longhorn with the potatoes & the mushrooms & their rich gravy was a luxurious experience. We also ordered the king crab legs. but they were watery & not as sweet as either my mom or I expected. BUT their customer service was top notch & they took care of us. We ended our meal with the table side bananas foster. Golden Steer was an experience I will treasure for a long time.,5,5,5,5,November 28 2024
La atención impecable.  Todo exquisito. los tragos. la comida y todos muy amables. Si vayan preparados para gastar unos 200 por persona,5,5,5,5,November 28 2024
It was our first time and we loved it. The staff is nice. Crowded but not too crazy. The location is not very nice but food is good. Old school steakhouse. Parking is kinda bad. There are not wnough spaces. Anyways. for the food i love the ceasar salad. i love the calamari its perfect. Crab cake is very good. Steak is good and flavorfood. lobster is also good. Oh and their bread is so tasty with butter. Their banana foster is yummy!!! A bit strong flavor of the syrup but overall good!! We had a very good experience,5,5,5,4,November 28 2024
Had  an amazing meal here again. every single item we had was amazing and we tried a lot of different things! This isn’t our first time here but just as blown away by the food as the first time.,5,5,5,5,November 28 2024
We went for an Old Vegas feel celebrating our son’s 21st birthday and a friends 30th birthday we were NOT disappointed. The wine selection was great. The food was amazing and the service was impeccable.  The table side Caesar salad was probably the best I have ever had. Additionally the table side dessert presentation was fun fur the table. I would definitely recommend this experience for anyone wanted to feel like a celebrity in the 50s.,5,5,5,5,November 27 2024
A truly spectacular experience. Everything. from top to bottom was delicious. and the service was fantastic. It was very loud. which made conversation and connection for our anniversary dinner a little awkward. but otherwise very nice. Highly recommend the prime rib and lamb chops!,5,5,5,5,November 27 2024
This was our 5th time dining here.  It now. as my wife says. Permanently on our must go places when we visit Las Vegas.  Never change a thing!,5,5,5,5,November 27 2024
Just as anticipated. old Vegas charm and ambience! Was fantastic in all aspects! Great Vegas Steakhouse!,5,5,5,5,November 27 2024
The service and food was top-tier! Enjoyed the food and experience,5,5,5,5,November 27 2024
We had a larger party and was hard to hear across the table. But no worries all was great,5,5,5,5,November 27 2024
Great service & great food. I’ll be back on next trip to Vegas.,5,5,5,5,November 27 2024
Kind of felt rushed. Caesar salad could have been colder. Tomahawk steak was good. glad it was served with more seasoning I. The side to add. Cheesecake was served warm. I prefer chilled.,4,4,4,3,November 27 2024
This place is outstanding from the time you walk in. You are greeted with smiles and charm. The waitstaff is top notch. Asking questions and delivering an outstanding experience,5,5,5,5,November 27 2024
This placed iz hyped up way more than what the quality was. My wife hated it got sick won't be back unfortunately we wanted to love it,2,1,2,3,November 26 2024
I come here every time I visit Vegas. It is truly the highlight of the trip. Best steakhouse in the nation!! Would recommend to anyone and everyone.,5,5,5,5,November 26 2024
Fantastic restaurant with great food. service & atmosphere!,5,5,5,5,November 26 2024
Wonderful.  Historical.  The number 1 spot in Vegas. Thank you everyone at The Golden Steer.,5,5,5,5,November 26 2024
Our first experience was amazing! Steak was cooked perfectly and the Caesar salad was amazing! Thank you for the history lesson too!,5,5,5,5,November 26 2024
I’ve been coming to Golden Steer for years. but this particular dinner. which we were celebrating my daughter’s birthday. was slightly below par.  Two things that greatly lacked quality were our baked potato and NY Strip steak.  The potato was so over cooked the skin was like leather and was basically inedible and the NY Strip was a bit too grisly and was actually hard to cut with a steak knife.  I order prime steaks from a purveyor in Chicago. and in comparison. it’s just hard to believe this was an actual prime cut of meat.  I’m sure had we said something both items would have been taken care of immediately. However. restaurants need to understand that as a customer. I don’t want to have to deal with sending food back and ruining the whole rhythm of the meal.  A good restaurant has the right chef and quality control to get it right the first time and not put any additional burden on the customer.  The appetizers and filets we ordered were all good. and the service was excellent.  I’m hoping that this was just a one time incident. but we’ll be back in January and will provide a follow up review at that time.,3,3,4,4,November 25 2024
The service was amazing and the food was delicious! We'll be back again one day.,5,5,5,5,November 24 2024
This was an amazing experience from start to finish.  James was our most excellent host!,5,5,5,5,November 24 2024
We had a wonderful evening at Golden Steer Steakhouse celebrating a birthday! The only thing that frustrated us was that we were put in a very back small room next to the staff kitchen door. Also since the room was so small it was extremely loud. The food was fantastic and the service was also. Make sure to save room for the Bananas Foster.,5,5,5,3,November 24 2024
Such an amazing dinner experience! Service was incredible and the food was amazing. So excited we decided to go!,5,5,5,5,November 24 2024
After 6 months waiting for the our dinner reservation date to arrive. Golden Steer did not disappoint. My  party of  7 came to celebrate my daughter’s 21st bday . We were seated in our own private room of the restaurant which was a pleasant surprise. Our family indulged in the table side Caesar salad prepped by Alex to start. cocktails (With Love was our favorite - we ended up ordering 3 for the table!) garlic bread. Aussie lobster tails. bone in rib eye. salmon. NY strip. Shrimp de Jonghe (absolutely incredible w/good sized and tasty shrimp!) tomahawk . the mushrooms.  twice baked potatoes. cream of corn. and the bananas foster for dessert (also prepped table side) to top it off was so good! Service by Corey and James was so thoughtful and prompt. Not an empty glass in sight! Will definitely come back! Thank you for our awesome first dining experience! We look forward to dining there again and making that drive from LA for another special celebration. All the incredible reviews were spot on!,5,5,5,5,November 24 2024
The dining experience was beyond our expectations m. the staff were very helpful and knowledgeable in all regards to the Golden Steers’ history and menu. We were greeted and treated like celebrities!  The food in a scale of 1-10 was above any rating.  One can feel the vibe and history of this excellent part of Las Vegas . We will dine there again.,5,5,5,5,November 22 2024
Love this place! I try to stop by anytime I’m in Vegas. The staff are knowledgeable about the history of the restaurant and the food is great as always. I enjoy the table side caesar and the banana foster experience.,5,5,5,5,November 21 2024
Everything was amazing! My husband and I had been trying to get reservations for months and we finally did!!! We also had the opportunity to bring my parents and they LOVED IT!!! We all did!!! Thank you so much for the amazing service and food!,5,5,5,5,November 21 2024
Amazing! Will definitely visit again! We found a last minute reservation!,5,5,5,5,November 21 2024
I can understand why why this place is booked so far in advance. It was an amazing experience from the start. The service was next level. the food had great taste. even the cocktails had their own special thing to them as well. Even though it was a pricier steak house. my boyfriend and I would go again next year for sure.,5,5,5,5,November 21 2024
The ambiance and service you receive is amazing!!! Everyone we interacted with was so nice and made sure we had everything we needed and our water glasses never went empty. We ordered the tomahawk. broccoli. and mashed potatoes and everything was exquisite! The steak was the best we have ever had and we would definitely recommend the Golden Steer!,5,5,5,5,November 21 2024
We enjoyed the “dinner for 2”. paired with fresh Cesar salad. mashed potatoes and asparagus. We ordered  tomahawk medium rare. it was prepared perfectly. Great service. Overall great experience.,5,5,5,5,November 21 2024
The food was exceptional. and the beverages were flawless. The service provided was of the highest standard. We were unknowingly seated at the Muhammad Ali booth. which added a unique charm for us especially since we work in the boxing industry. Thank you to the team at Golden Steer; I eagerly anticipate my return.,5,5,5,5,November 21 2024
very good -   steak. lobster. caesar salad.  not good - potato was dry.   excellent service. good ambiance.   overall - expensive. but well worth going to at least once. really nice night out.,4,4,5,4,November 20 2024
Amazing experience! The food and service was fantastic. I highly recommend making a reservation well in advance. All steaks were cooked to perfection. It's a great space to experience. but it can be very loud and hard to hear the wait staff.,5,5,5,5,November 20 2024
We felt very rushed. After we ate our salad. our food was immediately served. The steak was cold. We didn’t feel seen when we dined here.,1,2,5,5,November 20 2024
Absolutely amazing. The food was phenomenal  and service was exceptional. Best steak on the planet,5,5,5,4,November 20 2024
It was our first time here for a 50th Bday celebration and it was Perfect. we even got to be in the Elvis Booth. it was perfect.  we will definitely be returning,5,5,5,5,November 20 2024
Incredible time! Ricardo was outstanding. We enjoyed our night so much.,5,5,5,5,November 20 2024
Wonderful dinner with family. This was not my first time. nor will it be my last. Relocating to Las Vegas within the year and looking forward to many more visits; next time for the lobster tail!,5,5,5,5,November 20 2024
Always a great experience. As a local trust me in saying don’t miss out on eating here.,5,5,5,5,November 20 2024
Had a Great Time  The Experience of a Lifetime. Thank You All,5,5,5,5,November 20 2024
I had one of the best fine dining experiences ever! Food was amazing. Service was top notch. Definitely will come back for my husband’s birthday.,5,5,5,5,November 19 2024
Excellent service. Food was delicious. Table side Cesar salad was perfect. longhorn steak was perfectly cooked and the lobster tail was the star of the meal.,5,5,5,5,November 19 2024
The Golden Steer our favorite restaurant once again did not disappoint. From the beverages to the appetizer to the tender. juicy. and flavorable steaks . Service from the team was spot on as well. The only if any blemish on our evening was that our direct server Umberto had little to no personality. He was more of a robot going through the motions. But it did not reflect from an otherwise great evening. We will look forward to returning soon.,5,5,5,5,November 18 2024
My husbands Lobster was like rubber. Way over cook. For what we paid. should have been perfect. Rather disappointed,2,2,2,5,November 18 2024
Great good and Chris our waiter was excellent. I would highly recommend this restaurant as a must in Vegas,5,5,5,5,November 18 2024
As always amazing food. excellent service and an awesome experience.,5,5,5,5,November 18 2024
It was delicious. My old fashioned was perfect. And it cost more than our 3 night hotel stay at a resort hotel.,3,5,5,4,November 18 2024
Enjoyed the food and the ambiance! It's definitely a place to go to again!,5,5,4,4,November 17 2024
Great Food. Great Service. Great Experience.  Great place to celebrate with Family and Friends!,5,5,5,5,November 16 2024
Food and service was second to none. Celebrated our 30th wedding anniversary and it could not have been better.,5,5,5,5,November 16 2024
We got married in Vegas and wanted to have an intimate dinner the day after our wedding. Golden steer did not disappoint. The service and staff were excellent and the food was totally worth every penny. My husband enjoyed his prime rib. and the lobster. giant baked potatoes and mushrooms were delish. The bananas foster is a must try. 10/10 experience.,5,5,5,5,November 16 2024
Originally was planning to go to the 6666 pop up in the Wynn but had notifications for reservation cancellations setup in OpenTable and was able to snag a same evening reservation due to a cancellation. Was very happy and satisfied to go to this steakhouse instead.  The atmosphere of the restaurant takes you back to the early days of Vegas. Was imagining the Rat Pack and mob boss conversations that may have happened here. Just an incredible experience.  The steaks were some of the best that we have had. We had a petite filet and the prime rib. diamond cut. Both were amazing. The peppercorn sauce for the steak was perfect. We had the creamed corn and whipped potatoes and both were spot on. I did do the dinner salad and they also fixed that table side.  Very fun. We didn’t have room for dessert but watching the flambeau was a lot of fun for others.  I would say prices are in line with other top steak houses that I have had in the country.  Parking was a little difficult but we did find a spot in the lot next door.,5,5,5,5,November 14 2024
This was our second time here and was just as amazing as our first time!! Service was outstanding and the food was absolutely delicious! We did the dinner for two which consisted of steak and a lobster tail and two sides. Everything cooked to perfection and was so delicious!￼,5,5,5,5,November 13 2024
We made a reservation months ago in anticipation of our trip. We had a table for five of us that was set off to the side in a different dining room. We were a little disappointed in not being in the main room with all the pictures and memorabilia but the table was large. Our waiter David was so nice. His assistant Ali was super rude. He rolled his eyes every time someone asked a simple question and made the table uncomfortable. We ordered and the food was out pretty quick. The Caesar salad was delicious. The Angels chicken was really soggy and lacked flavor. The filets were excellent and cooked perfectly. The lobster tail was a huge disappointment. If you’re paying $105 for one lobster tail then the expectation would be a perfect cook on it. The tail was very overcooked and chewy. The mac and cheese was decent and the onion rolls were awesome. Overall it was a mid experience. I wouldn’t go back. I think my expectations were way too high based on how much hype surrounds it. Even the security guard outside was super rude. I guess I can say I tried it,2,2,2,2,November 13 2024
Ali and his group took care of us like kings!!!! Can not thank him the kid’s assisting him and of course the Golden steer enough for another exceptional experience Dr. Devine,5,5,5,5,November 13 2024
Great steaks! Staff very attentive. Would definitely be a repeat customer!,5,5,5,5,November 13 2024
Worth the wait to dine here. I’ve always heard about the Golden Steer and passed by and so glad I’m able to say I’ve eaten there. Service given by David and Ali were great. All of our food was hot & all tasted delicious. Davi’s took the time to give us a little history on the restaurant and highlighted different rooms. We thoroughly enjoyed our dinner and look forward to taking family back,5,5,5,5,November 13 2024
Good and service were 5 stars.  Would definitely go again.,5,5,5,5,November 13 2024
This is a very positive review. We ate there last night. The service was wonderful. The crab cake and French onion soup starters were excellent. The filets were cooked perfectly. Unfortunately. our Lobster Tails were overcooked. The waiter immediately came over and offered a replacement. The manager came over apologized and offered us dessert. Overall everything was great! The service was definitely outstanding.,5,4,5,5,November 13 2024
Amazing. Everything was amazing. The service. the quality of the food. the portion sizes. An amazing experience.,5,5,5,5,November 13 2024
Friendly staffs. fast service and the meals was delicious,5,5,5,5,November 13 2024
We had a great time and the experience was great. Love it.,5,5,5,5,November 13 2024
This was a wonderful experience. The staff was incredibly attentive and welcoming.  Service and food were outstanding!! Will definitely come back !,5,5,5,5,November 12 2024
The old school service is refreshing to see. I loved it. The food was great. We did get a cold side but they replaced it AND removed it from my bill so they did everything possible and without me having to do much b,5,4,5,5,November 12 2024
By the far the best dining experience you will ever have. Extremely friendly. accommodating staff. The food is too notch. But the best part? The rich history of the establishment that every staff member is extremely knowledgeable of. The atmosphere makes you feel like you can strike up a conversation with the next table. This is why we come all the way from Michigan and will continue to visit whenever we can.,5,5,5,5,November 12 2024
Truly one of our favorite places! I dream about the tableside caesar salad. Ambiance can't be beat.  This is the only restaurant we will come to on every singe trip of ours to Vegas.,5,5,5,5,November 12 2024
Absolutely fantastic! From the food to the service. everything was a 10/10. Their timing and the atmosphere were just perfect.,5,5,5,5,November 12 2024
Four of us had a fabulous dinner last night at the Golden Steer. We could not have asked for a more perfect experience. We were able to sit in the Dean Martin booth and had a fabulous team wait on us. Two people had filets. one had the Sea Bass and one the lobster. We shared two loaded baked potatoes. and a salad with their homemade Roquefort dressing. We topped the meal off with the bananas foster. The waiters made it a memorable evening with stories and a presentation of food that was delicious and beautiful. We will definitely be back!!!,5,5,5,5,November 12 2024
It was every bit worth the wait of getting the booking 6 months out,5,5,5,5,November 12 2024
Best lobster tails ever! Try the snail appetizer is delicious!!!,5,5,5,5,November 12 2024
This probably won't be a very popular review. I had never been to the Golden Steer but wanted to see what the fuss was all about. It's a Las Vegas landmark. frequented for over 50 years by some of the most notable celebrities and dignitaries. I was impressed with the overall look and feel of the place and I did like the curved booths....just like you used to see in the movies back in the day. I do have to say. it was a bit noisy. but it was still a very nice place. The service was impeccable - never experiences any better anywhere. The food was excellent across the board. I am retired and living comfortably. so I can afford a high-end restaurant...BUT....seriously? $200 for an 8-oz filet and lobster tail?? The shrimp cocktail was $28. but it was the biggest shrimp on the planet - so I can't complain about that price. I have been to some expensive restaurants. but this one takes the cake. Our tab for 3 people. which included just TWO entrees - one of which was shared - and drinks was $536. With a 20% tip. the total was $676. The ambience and history of the restaurant was not enough for me to justify the price of the food. I would have enjoyed the Eiffel Tower much more and it would have been about half the price we paid. I really think this was just another example of the emperor's new clothes. Everyone goes to the Golden Steer and acts like they are having the time of their life when it's really no different than any other steak house. I am not up-in-arms over it - I chose to go there knowing it was expensive. but we probably won't be back...and ONLY  because of the menu prices.,4,4,5,4,November 11 2024
The overall experience was great. You can tell they really pride themselves on service. Our waiter was very attentive and made sure to check up on us very often. The food portions were surprisingly big for a steakhouse. We ordered the calamari and king crab cocktail to start both were tasty and the calamari was decently sized. After appetizers we each ordered salads. The wedge salad was huge. it came with tomato’s and bacon and was definitely worth it for the price. however I think the Cesar salad was a bit overpriced. The flavor was good but nothing special for the price. For entrees we ordered a petite filet & a 24oz ribeye both came out cooked to perfection and the flavor was definitely there with the meat. The sides we ordered were creamy spinach and Mac and cheese. The Mac and cheese was good. nothing special but good enough to be steakhouse quality. The spinach on the other hand was very creamy almost too creamy. It was hard to eat with a fork because it was so slippery and finely cut you could barely pick it up. After dinner we got a complimentary cheesecake with chocolate drizzle as we were celebrating our anniversary. The cheesecake was good. simple but flavorful. Lastly. the ambience here was nice. Each booth you sit in is personalized to a past celebrity who sat there and they had a QR code on the wall so you can read about the celebrity who’s booth you are sitting in incase you didn’t already know their back story. The one downfall I will say is the waiting area/lobby. it tends to get very overcrowded very quickly and can be quite chaotic with waiters moving in and out to get to the private dining rooms and the bar. Overall though it was a great experience and I would definitely come back and recommend this place to others wanting a nice steakhouse experience.,5,4,5,5,November 11 2024
One of the greatest meals I've ever eaten highly recommend it straight up 10 out of 10,5,5,5,5,November 11 2024
