Reviews,Ratings,Food,Service,Ambience,Dates
Plenty of vegetarian options and even a small vegan station with 3-4 entrees. Same with the desserts - a whole section of vegan treats and dairy free gelato options. Not many fish options if you’re a pescatarian. it was mainly seafood. TONS of shellfish but I’m allergic so I had to skip that. I found a seared salmon option in the Italian section. tuna rolls at the Asian station. and an interesting looking fish soup in the Mexican section.,5,5,5,5,5 days ago
Made a reservation but wasn’t really busy on a Thursday morning. A wide selection of food of several nationalities and a wonderful omelette station.,5,5,5,4,6 days ago
Je viens de rentrer à Paris et le sentiment reste le même. le buffet était incroyable. j'ai particulièrement apprécié les viandes et les sushis. c'était vraiment très bon. L'autre point très positif était qu'il n'y avait aucune odeur de nourriture dans tout l'environnement !!!,5,5,5,5,6 days ago
For the price. $800 for 9 people. was expecting more than 90 mins of dinner with my family. I think its too much for its price. The ambiance is too basic and we didn't get as much service as we need. We have to catch a server to get coffee.,3,4,5,3,7 days ago
Excellent. as always! The selection is impressive and there truly is something for everyone.,5,5,5,5,7 days ago
Good wasn’t that god based on the cost.  We won’t come back and definitely tell others not to throw away their money.,1,2,5,3,7 days ago
I had the endcap of the primerib.  It was bland and just ok.  The brisket was good.  The shrimp was good.  Mussels were still partially frozen.  The lobster claws tasted off and I only ate one because I didn't trust them.  The meat on a stick was pretty good.  Other people at the table felt the same way with their seafood.  They tried it and said it tasted off.    The desserts were great though.,3,2,4,3,7 days ago
By far the worse buffet we've been. save your hard- earned money and go to regular fast-food restaurants outside the hotel. I was looking forward to eating crab legs but greatly disappointed. they're so salty to a point it's not even edible. The rest of the food selections were either bland. greasy or completely off the expected taste. Look like reheated/ recycle food from previous days. You can't even get comfortable. the chairs are horrendous. the seats have zero support. so your bottom sink deep & you're getting force to sit at the edge ( solid metal ). They give you 90 min. limit to finish eating. we're so disgusted. in less than 30 min. we're up & started walking out.,1,1,2,2,December 3 2024
Awesome dessert selections. For the crab and meat lovers. Id skip the Chinese and Mexican selections. Save the tummy for seafood and dessert.,5,5,3,4,December 3 2024
A lot of average preparation choices of food. Dessert station the best. Meat good selection. Seafood average and the lobster claws over-cooked and dried out. Nothing sit-down dinner quality but bulk wise very good.,3,4,3,3,December 3 2024
what can you not like … it’s Bacchanel at its best fresh creative foods / live stations,5,5,5,5,December 2 2024
For the amount of money paid. the food was not up to par. It did not incorporate every cultural desire on its buffet and the fact that it includes all you can eat snow crab that looks picked over is not enough to justify a $178.00 for 2. There was no wait to be seated which was excellent and our waitress was wonderful. Otherwise. I will not be visiting Bacchanal ever again!,3,2,5,5,December 2 2024
I’ve read many things saying it’s hyped up and not worth it. I wish I had listened to that advice. When paying this for a buffet you’d expect to see better options. have all hot food be hot and cold food be cold and have your plates cleared during the meal. That was not the case. I’d also expect to see some high end restaurant dishes. not just variety.,3,3,3,3,December 2 2024
Food variety. Tasty food. Service staff are mixed bag.  crowded and no so friendly staff.  Our waiter was good though.,4,4,3,3,December 2 2024
If your into seafood. this place is calling your name. Great service. great options. very clean,5,5,5,5,December 2 2024
Totally overrated! Def no second time. Don’t bother going,1,1,2,1,December 2 2024
I loved the experience…the presentation of the food. the taste. and the friendly employees. The process to be seated could use some efficiencies. We arrived at our reservation time and others were seated before us. The roasted meats looked delectable but the prime rib tasted like pot roast because it was cooked too long. The same with the brisket - dry. The seafood was really good as was the Asian noodles. Overall my girlfriend and I loved the experience And recommend others to try.,4,4,5,4,December 2 2024
The verity of food was excellent. The prime rib was very tasty. Deserts had a good verity and was very tasty. The only downfall was that the lobster claws and crab legs were served cold. The warm crab legs were offered slowly. In my taste. the lobster and crab legs should be served warm. Shrimp are ok.  served cold.. Price was a little high. However. everything along the strip is highly priced. Overall. good choices and good food.,4,3,4,5,December 1 2024
A must-try buffet. Each cuisine is an assorte of carefully chef-ed delicacies. cooked to near perfection (as far as a buffet can reasonably stretch). served right (temperature. curation and counter map). by a friendly staff. The 90-min stay may be a tad tight for a few. but is kinda ok for moderate mealers like me. Overall a worthy visit at every Vegas trip.,5,5,5,4,December 1 2024
We had a fantastic brunch and the food and service was amazing!,5,5,5,5,December 1 2024
The crab was really good. mashed potatoes were excellent. however. prime rib was super fatty. the desserts were not great at all. The crepe was okay. but crème brulee was too custardy. wasn’t enough crisp on top. there were a couple of things just overly sweet. The sugar free blueberry dessert was the best. The gelato was meh. The server was pretty attentive to clearing plates and refilling drinks tho.  Overall $85/person for that was not worth it! I can see why a ton of casinos are going away from buffets. Bachannal used to be super good. idk what happened.,3,3,4,4,December 1 2024
Must-visit in Vegas! We come every time we are in Vegas! Bacchanal Buffet offers an unbeatable variety of delicious food. especially their incredible crab legs and desserts. The lines can be long. but it’s totally worth it reserve a few days in advance for the best experience!,5,5,4,5,December 1 2024
Bad food quality. not too much variety. Deserts was ok.,2,2,3,3,December 1 2024
Every time I  come to Vegas I put Bacchanal Buffet on my to do list and it never disappoints.  You can choose from a wide variety of meals and they all are delicious.  Truly worth the money and the experience.,5,5,3,4,December 1 2024
"The crab legs. lobster claws. and scallops were very dry. The cold shrimp with shells were mushy. and the steamed shrimp dumpling shells were hard and dry. After tips. the total came to almost $120 on Thanksgiving weekend. Even with a reservation. we still had to wait 35 minutes. The food was so bad that even if someone offered to pay for my bill. I wouldn’t go back.""",1,1,1,1,December 1 2024
I made a reservation for 5:45 PM but got seats at 6:35 PM.,4,5,3,5,December 1 2024
We had a scheduled reservation for 545 for 4 people.   We arrived on time to find a very long line and poor signage to indicate which line we were to join.  After 5 minutes in the incorrect line. we were redirected to the correct line. which was to confirm our reservation.   While reservation confirmation was timely. it took 45 minutes to get to the cashier to pay.  By this point. we had spoken to the manager about the profound delays several times without proper resolution.  Our kids were starting to feel tired and faint from standing in the line while waiting to eat with an as yet undetermined time when they would be able to get in. so we again asked for some kind of resolution.  At which point. we were taken to another line to wait.  This line took ~20 minutes to stand in prior to being shown to our table.  If we had remained in the existing line. it would have been at least another 45 minutes to get to eat.  In addition. one patron had their dog in a carriage and was planning on entering the restaurant with said dog.  The dog was small and could not have been a service animal.  We are allergic to dog dander. so were dismayed to see the unsanitary nature of having an animal who is not a service animal come into the restaurant.   The food was ok for the most part. but with somewhat less variety than at the Wynn buffet. In addition. some of the stations did not appear to be open (the made to order taco station. for example. was not running).  Overall. we would not go to this buffet again.,2,3,1,2,December 1 2024
Lots of delicious food selections. Pricey. but reasonable for the food offered. The service was outstanding. Still a 30 min wait with reservations for a party of 6. I enjoyed my dinner here with family.,4,5,5,4,December 1 2024
Make a reservation to wait in line for a party of 5 to be seated at a 4 top table.  Takes an hour to get drinks. have to search out water refills.  Mediocre food at best. which is obtained by waiting in more lines.  The only good thing is that some foods list some allergens on their hard to read signs.,2,2,1,1,December 1 2024
The food is nothing special. just very ordinary stuff. similar to any buffet restaurant. but the price is several times more expensive. not worth the price.,2,3,3,3,December 1 2024
All food was wonderful. just a little bit expensive,5,5,5,4,November 30 2024
I was really excited to visit Bacchanal Buffet for the first time. but my first impressions weren't great. There were no welcoming smiles from the staff. who seemed more focused on getting people to pay. get seated. and leave quickly. For $100 per person at Caesar's. I expected better.  I knew they offered lobster. but it was just claws—and they were tough! The staff mentioned they haven't served full lobsters for a few years. which was a major disappointment. Every time I needed something. it was difficult to find my table server. When I did. they bused my table while I was still there. I found out they don't have dedicated busers; the servers do both. which felt unhygienic as they touched dirty plates and then handled my napkins. cutlery. and glasses. No. thank you!  The buffet looked incredible. but the high volume seemed to affect food quality. For example. the Chinese Emperor's Chicken had sauce carelessly scattered on it. and the shrimp slider buns were hard from sitting too long under the heaters. Meanwhile. I noticed VIPs received frequent service. smiles. and special dishes. Honestly. I’ve had better service at low-end casino buffets for half the price with comparable food.  I'm disappointed in Caesar's and its leadership. though the variety of choices was impressive. Overall. the experience felt like a debauchery with so much food and people swarming around their plates.,2,3,2,2,November 30 2024
For $95 plus tax dinner on a Saturday during Thanksgiving weekend. I expected something more special. All they served was the same old food items. nothing special. The King Crab legs are overcooked. Steamed Shrimps were mushy. the pita bread on Gyro was undercooked (tasted like dough). the Tonkutso Ramen was salty. the Sushi were falling apart. I only enjoyed the mussels. cocktail shrimp. Shumai and some of the Mexican food that I don’t normally eat on a regular day buffet there. Totally disappointed. Not to mention. we made reservation and their priority are group of 4 regardless of where you’re at in the waiting line. There’s 4 couples ahead of us and waited longer to be seated than those group of 3-4 bypassing who’s in line. Our server Marvin is the only 1 who deserves 5 star ⭐️,3,2,5,4,November 30 2024
Bacchanal is one of my favorite spots in Las Vegas!  I was excited to experience the epicurean delights of the Bacchanal Buffet at Caesar’s!  It’s definitely an experience for anyone visiting Vegas.,5,5,5,5,November 30 2024
The service was excellent. Our waitress was attentive. cleared the dishes and refused coffee and drinks frequently. But 3 members of my party got sick right after eating the buffet. I was the only one not ill. Certain it was the food!,1,1,5,2,November 30 2024
Excellent food and service.the price is worth and friendly waitress,5,5,5,5,November 30 2024
We went in for the breakfast buffet since it was the only available time slot. Our reservation was for 10:30 on a Saturday. We did not get sat down until 10:50. There was a 15 minute line for the crab legs. It was 11:05 when I got to finally sit down and take my first bite. 55 minutes later 12:00) the manager told us they had a group reserve the table for 12:30 and that our 90 minutes was up.   There were no oysters. no lobster claws or snails and no lamb chops even for a weekend menu. Those are for dinner only but that information was not made available. The food selection for breakfast was very disappointing and not worth the nearly $100 price tag. The sushi selection was comical and comparative to a grocery store pre made sushi menu.   The only saving grace was the waiter and the rest of the staff. They were extremely nice. attentive and professional.   I do not recommend the breakfast menu. Maybe give the dinner menu a try if you are lucky enough to get an opening.,2,2,4,3,November 30 2024
Great staff. great food! Omar served us from behind the bar. welcoming. knowledgeable and professional. Many thanks to everyone at Binions,5,5,5,5,November 30 2024
It was fine but too crowded and too many people. Long lines for food. Not a huge fan of buffet in any case,3,3,3,3,November 30 2024
This has to be the worst buffet ever. The wait was over 2 hours.. and the foods are so bad. It was a waste of money.,1,1,5,1,November 30 2024
We had a wonderful experience dining at the buffet! Food was absolutely delicious! I will recommend to family and friends to eat there 💯% Thank you Caesars ( Warren & Sareeta,5,5,5,5,November 30 2024
Last call is. 10:45 pm in which everything will be taken away so be prepared.,5,5,4,5,November 30 2024
The steak was cold and they put pork next to beef not everyone eats pork and the gentleman was using the same knowledge to cut pork and beef.non pork eaters has less to eat which is less for the amount of money we pay almost $100 per person,1,1,5,5,November 30 2024
Not worth the money waitress had a face like she hated her job,2,2,1,4,November 30 2024
Did not get to actually eat here after making reservations weeks in advance. It is not noted that even once reservations are made you still have to wait in line to checkin and that can take 30-60 minutes. Then upon being seated you have a timed dinning experience. Very disappointed in this process and it is unfortunate that I was not able to partake.,1,1,1,1,November 29 2024
It is definitely buffet. That means some items are good. Some are ok. Good-carving station. The prime rib. brisket. meats in general stand out. Crab legs are just ok. There is a time limit. Still a long line waiting for crab. Better system is needed. Some crackers over steamed making them hard to separate meat from shell and in an accomplished crab meat extractor. Mexican is ho hum with exception of birria which is good. Desserts are ok. Salads are wilted and not great. The seating area pedestrian. It’s a buffet. As those go it’s ok. I stuck mainly with protein. Enjoyed but unlikely to return.,3,3,3,2,November 29 2024
It's worth bringing folks that have not been before. but if you've gone once. it starts losing its luster.  Don't get me wrong. it's a huge selection of quality food. You can really stuff your face. But the older you get. getting stuffed to the point of being uncomfortable really loses its appeal.  I like to tip in cash. and I tip depending on the service.  Unfortunately. this time service was horrible.  It's a buffet. I'm happy if you clear the used plates and ask at least once if we need our drinks refilled. Nope.  We had to flag down random waiters to ask for our waiter since he seemed to spend all of his time in the kitchen.  Even then. he never showed up.  Eventually. we flagged a manager. and he finally came. He was not happy and showed it.  I still left a tip in cash. even though my wife urged me not to. but man. I struggled.  This guy makes good money. and there are hundreds who would kill for this job.  I paid lots of money for my family to have an enjoyable brunch only to have to deal with someone who shouldn't be in service.  Anyway. as I said. great if it's your first time. and hopefully. you get a better server.,4,4,3,4,November 29 2024
Extremely limited vegetarian options. Not a good value for anyone with any dietary restrictions.,3,2,3,3,November 29 2024
Outstanding spread as always!  I went on Black Friday and the place was busy but the staff was very accommodating!  Will go back!,5,5,5,5,November 29 2024
Overrated and overpriced.  Cleanliness is concerning...Dinning tables and floor are dirty. Plenty of selection for food but most are junk. only a handful of options i would consider decent.  Very disappointing experience.  my first visit to this buffet and probably the last as well.,1,2,2,1,November 29 2024
Was sick in the bathroom for 3 days after eating just one plate there (fried shrimp and roasted pig).,2,2,4,2,November 29 2024
We were sat in the room in back so far away from the buffet and the room was very basic. prob because we had a party of 12.  Waitress barely spoke English and did not look as if she wanted to get drink orders.  She must’ve been in a bad mood because she kept rolling her eyes.  Kept telling us to go up to the buffet first.  Table was cramped. pretty sure it was meant for a party of 10.  Food was mediocre.  Had a the lunch buffet the day after thanksgiving and our bill was $1400+ automatic  gratuity on a $100 dollar buffet for 12 people.  It was so underwhelming.  Only thing worthy was prob the snow crabs.  Nothing else was memorable.  Food was not bad.  Just ok.  Overpriced.  We will never go back.,3,3,3,1,November 29 2024
Super delicious and worth the money! Lots of variety for everyone.,5,5,5,5,November 29 2024
Great experience. crazy price!  But you probably lost even more money gambling.  That said -- given the price you charge. how about some live music for diners?   As I see that's an option in the comments section here,5,5,5,5,November 29 2024
I was very disappointed with the service. The food was not great like it used to be. It was very average. I will not be coming to this buffet again. I was so disappointed. I spent $247 to get average service. The turkey dinner was terrible. That’s what I went there for for Thanksgiving.,1,2,1,3,November 29 2024
Something that you should try it once for the experience but I realized is more the hype than anything else. Food was good but not great.,4,4,4,4,November 29 2024
We made a reservation for 6 PM and arrived at 5:45 PM. as recommended. Despite this. we ended up waiting over an hour. While we understand delays. the issue was that several groups who arrived last minute were seated before us. When we brought it up to the hostess. she rudely explained that they were “maximizing capacity.” Essentially. because our group had 5 people instead of 6. we were pushed aside to accommodate larger groups. This made no sense. especially since we had already been charged. Watching three groups of 6 get seated ahead of us was incredibly frustrating. Unfortunately. my last time attending. The that’s not even mentioning the service and food.,1,3,1,1,November 29 2024
Not to remember an experience. maybe food could have been better,3,1,1,2,November 29 2024
Wow. what a meal! Everything I ate was delicious. well prepared and served at the correct temperature. The waiters and waitresses were very amiable and helpful. I have never had such a large variety of food where every genre of food was so well prepared. Great Thanksgiving meal..,5,5,5,5,November 28 2024
Upon our arrival we checked in an hour early because of the expected wait. We were given 90 minutes to eat our thanksgiving meal. The food stations were not labeled or arranged in a sensible manner. There were also no restaurant personnel providing traffic control at the stations. This resulted in everyone wasting time waiting to just look at the available options. Plus people were cutting in line with the excuse of “I only want to grab just one of these”.  To make matters worse. people were eating with their hands. licking their fingers. then grabbing the utensils to grab food. If a viral bug starts from this place I wouldn’t be surprised. The Chinese ribs. duck. and beef tasted old and dry. The traditional thanksgiving food items were disappointing. The turkey was dry and unappealing. The pork bruschetta was crunchy and had a peculiar sour taste. The brisket had too much fat making it greasy and salty. The prime rib was good however the two guys serving the brisket and prime rib were rude and simply put “a$$ holes”. The green beans and brussel sprouts were under cooked making them taste bitter. The dessert area was disappointing because it was out of several items. Sad part of this story is that I have eaten here before and I know how good it can be. This is the reason I am very disappointed about how they presented and prepared this Thanksgiving buffet.  I paid over $300 for 3 people. The quality and service Ceasars provided was not only disappointing but embarrassingly third rate.  The atmosphere and vibes from the supervisors working the floor felt chaotic and stressful. They appeared to be overwhelmed by the volume of people inside. I can’t understand why because reservations were needed so they had control of the volume coming in and they should of had the food stations fully stocked and organized. I would not recommend the Thanksgiving buffet here to anyone. I hope we don’t catch anything from the dirty utensils covered in other people’s saliva.,1,1,1,1,November 28 2024
I wouldn’t considered this the best buffet we’ve ever been to. It it large? Sure. but it’s basically quantity over quality here.  For the pricing I would expect service to be top tier and it wasn’t. To star out. the table was not cleaned properly that we were sat at. Underneath the lip of the table was a dark purple custard all along the edge. and when our child slid into the booth it’s got all over his dress shirt.. staining it… we waited about 20mins before a server got to our table to assist with cleaning it and getting some water to get off the substance. After finally getting to go out to the buffets which are full of line(which is fine). we were done with our first plates but didn’t have room for additional plates so we waited for them to get cleared out. Apparently the server we originally had was done for the day and didn’t tell us bye. We had to find server walking by to get plates clean. The new server didn’t want to serve us since we weren’t her original table. How is that our fault we were sat at a shift change? We were maybe on our second plate when the serve said our 90mins was up and we had to leave.. when booking his reservation the time quoted is 2 hours in my email and half of the “90 mins” was spent waiting on servers. When we mentioned not being told the time had been shorted the new server Ramona walked away and just send a manager our way to tell us we needed to leave. He was a shorter bald gentleman. There wasn’t any apologies for the lack of service we had already received and he was extremely rude with no empathy toward the situation. We spent $700 to dine as a family which we were happy to do until we realized this establishment doesn’t care what your are spending and how your experience is. The want your money then want you out.,2,3,1,5,November 28 2024
Absolutly excellent! Highly recommend.  Great food. lots to choose from. Very organized with fresh. hot food.,5,5,5,5,November 28 2024
The food was good but not worth the price! We likely won’t return unless the price is lowered significantly. It’s not that good!,3,3,5,3,November 28 2024
It was Thanksgiving. very busy but food was very good!,4,5,3,4,November 28 2024
It was Thanksgiving day so it was very crowded and loud.,4,4,3,4,November 28 2024
Decent food and maybe a good value during a normal visit. We visited for Thanksgiving and even with reservations. the lines were very long and not worth getting into a separate lines for seconds. I would not visit again during a holiday but would come back during a different time.,4,4,4,5,November 28 2024
With reservations the wait was over an hour. The lines were ridiculously long and spent more time try to get food than actually eating. The food wasn’t worth the exorbitant cost and the Maître d’ was very rude when I asked about the payment process. Over all it was supposed to be special for my kids birthdays and as a single mom I saved to give them this and it wasn’t worth it at all. Dessert was wonderful I will say.,1,1,1,1,November 28 2024
This buffe is not worth it. They did not prominently post the price for Thanksgiving. When I made my reservation. the price was noted as 80.00/pp but it was actually 97.00/pp. I did not see that posted anywhere. The high cost is for the seafood. so if you don't eat seafood. it's not worth it. Also. there were no whole turkeys being carved for Thanksgiving. they had other meats being carved but the turkey was already cut up in a pan. There was no special Thanksgiving set up... it looked like a normal buffet and the turkey was an afterthought. The worst part was that there was one person at the carving station for ham. sausages etc... the carver seemed miserable. no smiles. not happy to serve. There was a long line for the carving station and the carver kept stopping the line while he went to the back to get more sausages and organizing them on the line...telling people to just wait in a negative tone (why wasn't there a backup person to assist with this?); very poor management of the process. Also. there was 90-minute time limit (understandable) but 15 minutes before our time was up. our waitress was already telling us about the 90-minute time limit...very unprofessional. I would never eat here again. For the price... the service. quality and coordination are well below expectation.,2,3,2,3,November 28 2024
I’ve been to Bacchanal Buffet many times in past years and it was always amazing. Thanksgiving brunch was disappointing. The turkey was delicious and everything else was meh.  I’m not sure if I’ll be returning.,3,1,4,4,November 28 2024
Our experience did not meet my expectations for a Thanksgiving dinner. It was no better than a cruise ship buffet. The food was good but not exceptional. The experience was way overpriced for what we got. Guests were rude and cut in line. And we felt under pressure the entire time to eat quickly and not relax. We will not be returning. Later that day I was walking past Ruth’s Chris Steakhouse at another Caesar’s property and noticed their Thanksgiving fixed price menu. We could have had a quiet and relaxing experience at a well known steakhouse for what we paid for the buffet. My fault for not doing better research.,2,3,3,2,November 28 2024
The one thing they don’t mention is that even if you have a reservation you may still need to wait in a line to be seated after paying! We did come on thanksgiving but would have liked to know this before hand.,4,4,4,4,November 28 2024
Food is awesome. service was professional. check in was quick.  We had reservations so it was quick.  I just noticed something. maybe my imagination. but seems like all the Asian people are all placed in one area.  Other than that. everything g is outstanding .,5,5,5,5,November 28 2024
Wait staff was great and attentive. I arrived at opening which was disorganized. We entered prior to 9am. My waitress said to help myself to the buffet. The head server cane over to me and said to wait until 8:45am. Everyone returned to their seats. Then as new customers entered they went to the buffet and were served. Those of us who were still seated then went ahead to the buffet. The meat servers were unsmiling and looked unhappy. The experience was otherwise great.,4,5,4,5,November 28 2024
open a reservation at 500 for 530. table of 4. Never got a text until after midnight. Obs too long to wait. Terrible system. No staff could tell me how long the wait was. And since they are packed. they obs don't care. Too bad. looked awesome form a distance.,1,1,1,1,November 28 2024
Food was great.  There was something for every diet types. The 90 Minutes time limit is more than enough.,5,5,5,4,November 28 2024
It was prethanksgiving dinner for us and the price is quite high for the similar food we had when we visited the restaurant before. But quality in the food was excellent.,4,5,5,5,November 28 2024
lots of choices some of the craved meat was cold and dry. but I tossed it and wet back and it was fine. Its s till a good value with all the choices. It is still the best full service buffet on the strip,5,5,5,5,November 28 2024
We were supposed to have 90 minutes due to reservation restrictions. they tried to put us out after 35 minutes and we had to literally prove that we had only been seated for 35 minutes. it was very rude and uncomfortable. We were monitored the rest of the night after that,2,3,1,2,November 28 2024
Bachhanal Buffet is like what was expected based on our research. and more. As lovers of all things crustacean. we definitely enjoyed the plentiful crab legs. lobster claws. prawns. Dungeness crab and shrimp. What was a pleasant surprise was how they have so much more. and everything was really good. We indulged in salmon. prime rib. duck. as well as tasty grilled vegetables and Boursin mashed potatoes. Desserts were equally delicious with just about anything you could imagine. Smart serving sizes helped keep you from really overdoing it. Overall it was a lovely experience. and one I would recommend to others.,5,5,5,5,November 28 2024
This was our first time dining here.  The buffet offered many stations with a variety of food from seafood. meat carvings. asian. Mexican. etc. with amazing desserts.  The restaurant was packed with too many people.  There was a long line to get snow crab legs where we spent waiting close to ~15 minutes.  It would have been more efficient to already dish out crab legs onto a plate (similar to how other Vegas buffets) to reduce long line. especially since there’s a 90-minutes time limit & people were picking & choosing crab legs.  We weren’t as impressed. mainly due to overcrowded setting.,4,4,4,3,November 28 2024
Some of the dishes I wanted to try and that were shown on the website or on the video screens and on YouTube were not present. There was limited gluten free options . for example nothing in the Asian or sushi section except one sashimi (which kept running out) and one vegetarian sushi rice. nothing in the Italian or bread section. only 4 of the dozens of desserts (excluding gelato). even the macarons had gluten! The grilled salmon was topped with battered and fried strings of what were probably onions even though the large LED display at the check in line showed it topped with lovely enoki mushrooms. The seafood was nearly all gluten free of course. but the cold lobster claws were flavorless and the crab was overcooked. Scallops were good but there was only 1 per plate and they kept running out. Overall Not a good value for me.,2,3,2,2,November 28 2024
Don’t waste your money.  The quality of the foods is not good at all.,1,1,1,1,November 28 2024
Two of us Dined at this Buffet Restaurant paying $85/person plus taxes. I do not think the food is worth the price. I have seen everyone lining up to crab legs. If you do not like crab legs. then it is waste of money and time. On top of that they time your table (90min) which is crazy. I know it is plenty but I did not like the time limit you spend together at Dinner table.,2,2,3,1,November 28 2024
